
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
40,Brett Anderson\anderbr04,33,MIL,34,.087,-84,.000,.000,0.0%,41.2%,11.8%,64.1,0.0%,0.0%,56.3%,12.5%,3.00,25.0%,62.5%,12.5%,-0.6,-0.3%,-7.8
41,Brian Anderson\anderbr06,28,MIA,264,.327,95,.317,.129,2.7%,24.6%,9.9%,88.8,38.7%,20.8%,48.8%,25.0%,0.95,18.5%,61.3%,20.2%,0.0,-0.1%,5.1
42,Chase Anderson\anderch01,33,PHI,14,.000,-195,.000,.000,0.0%,42.9%,0.0%,51.2,12.5%,12.5%,25.0%,0.0%,2.00,25.0%,50.0%,25.0%,-0.2,-0.1%,-2.8
43,Ian Anderson\anderia01,23,ATL,41,.075,-102,.250,.027,0.0%,70.7%,2.4%,63.2,18.2%,18.2%,45.5%,0.0%,2.50,0.0%,63.6%,36.4%,-0.8,-0.5%,-10.6
44,Tanner Anderson\anderta01,28,PIT,2,.000,-131,.000,.000,0.0%,50.0%,0.0%,51.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.9
45,Tim Anderson\anderti01,28,CHW,551,.357,125,.372,.159,3.1%,21.6%,4.0%,89.6,42.5%,23.0%,56.0%,19.3%,1.27,24.7%,54.5%,20.8%,1.9,0.5%,14.1
46,Tyler Anderson\anderty01,31,TOT,40,.133,-37,.333,.077,2.5%,72.5%,2.5%,71.3,10.0%,20.0%,50.0%,10.0%,1.67,10.0%,80.0%,10.0%,-0.5,-0.2%,-7.2
47,Tyler Anderson\anderty01,31,PIT,37,.125,-43,.333,.081,2.7%,73.0%,0.0%,71.3,10.0%,20.0%,50.0%,10.0%,1.67,10.0%,80.0%,10.0%,-0.5,-0.2%,-7.2
48,Tyler Anderson\anderty01,31,SEA,3,.231,40,,.000,0.0%,66.7%,33.3%,,,,,,,,,,0.0,0.0%,0.0
49,John Andreoli\andrejo03,31,SDP,7,.277,72,.333,.167,0.0%,42.9%,14.3%,88.7,33.3%,66.7%,33.3%,0.0%,0.50,66.7%,33.3%,0.0%,0.0,0.0%,-0.6
50,Elvis Andrus\andruel01,32,OAK,541,.285,78,.283,.076,0.6%,15.0%,5.7%,86.8,34.9%,28.4%,45.4%,17.5%,0.86,26.7%,53.9%,19.4%,-2.4,-1.9%,-23.0
51,Miguel Andujar\andujmi01,26,NYY,162,.289,79,.273,.130,3.7%,17.3%,4.3%,87.1,37.0%,21.3%,52.8%,21.3%,1.12,27.6%,55.9%,16.5%,-1.7,-1.1%,-12.4
52,Tejay Antone\antonte01,27,CIN,5,.174,-51,,.000,0.0%,60.0%,20.0%,20.3,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.3
53,Aristides Aquino\aquinar01,27,CIN,204,.306,74,.253,.218,4.9%,36.8%,13.2%,89.0,39.6%,21.8%,29.7%,34.7%,0.42,39.6%,44.6%,15.8%,-1.1,-1.0%,-7.2
54,Jonathan Arauz\arauzjo01,22,BOS,75,.279,62,.191,.185,4.0%,20.0%,10.7%,82.6,30.8%,19.2%,42.3%,19.2%,0.81,26.9%,48.1%,25.0%,-0.2,-0.1%,-6.0
55,Orlando Arcia\arciaor01,26,TOT,89,.261,43,.230,.111,2.3%,21.4%,7.9%,88.2,38.1%,17.5%,52.4%,20.6%,1.10,28.6%,60.3%,11.1%,-0.5,-0.1%,-0.9
